m/z,Formula,ID,IsotopeLabel,Ion form,Compound
140.0558531,C5H4N4O,1023,C13-label-3,[M+H]+,Hypoxanthine_isomer
141.0592079,C5H4N4O,1023,C13-label-4,[M+H]+,Hypoxanthine_isomer
142.0625628,C5H4N4O,1023,C13-label-5,[M+H]+,Hypoxanthine_isomer
146.0924056,C5H11N3O2,1024,C13-label-0,[M+H]+,Guanidinobutanoate
147.0957604,C5H11N3O2,1024,C13-label-1,[M+H]+,Guanidinobutanoate
148.0991153,C5H11N3O2,1024,C13-label-2,[M+H]+,Guanidinobutanoate
149.1024701,C5H11N3O2,1024,C13-label-3,[M+H]+,Guanidinobutanoate
150.1058249,C5H11N3O2,1024,C13-label-4,[M+H]+,Guanidinobutanoate
151.1091798,C5H11N3O2,1024,C13-label-5,[M+H]+,Guanidinobutanoate
147.0764226,C5H10N2O3,1025,C13-label-0,[M+H]+,Glutamine
148.0797774,C5H10N2O3,1025,C13-label-1,[M+H]+,Glutamine
149.0831323,C5H10N2O3,1025,C13-label-2,[M+H]+,Glutamine
150.0864871,C5H10N2O3,1025,C13-label-3,[M+H]+,Glutamine
151.0898419,C5H10N2O3,1025,C13-label-4,[M+H]+,Glutamine
152.0931968,C5H10N2O3,1025,C13-label-5,[M+H]+,Glutamine
148.0604396,C5H9NO4,1026,C13-label-0,[M+H]+,Glutamate
149.0637944,C5H9NO4,1026,C13-label-1,[M+H]+,Glutamate
150.0671493,C5H9NO4,1026,C13-label-2,[M+H]+,Glutamate
151.0705041,C5H9NO4,1026,C13-label-3,[M+H]+,Glutamate
152.0738589,C5H9NO4,1026,C13-label-4,[M+H]+,Glutamate
153.0772138,C5H9NO4,1026,C13-label-5,[M+H]+,Glutamate
150.0583283,C5H11NO2S,1027,C13-label-0,[M+H]+,Methionine
151.0616831,C5H11NO2S,1027,C13-label-1,[M+H]+,Methionine
152.065038,C5H11NO2S,1027,C13-label-2,[M+H]+,Methionine
153.0683928,C5H11NO2S,1027,C13-label-3,[M+H]+,Methionine
154.0717476,C5H11NO2S,1027,C13-label-4,[M+H]+,Methionine
155.0751025,C5H11NO2S,1027,C13-label-5,[M+H]+,Methionine
152.0566876,C5H5N5O,1028,C13-label-0,[M+H]+,Guanine_isomer
153.0600424,C5H5N5O,1028,C13-label-1,[M+H]+,Guanine_isomer
154.0633973,C5H5N5O,1028,C13-label-2,[M+H]+,Guanine_isomer
155.0667521,C5H5N5O,1028,C13-label-3,[M+H]+,Guanine_isomer
156.0701069,C5H5N5O,1028,C13-label-4,[M+H]+,Guanine_isomer
157.0734618,C5H5N5O,1028,C13-label-5,[M+H]+,Guanine_isomer
169.0594286,C5H6N5O2,1029,C13-label-0,[M+H]+,Diamino-hydroxy-formamidopyrimidine
170.0627834,C5H6N5O2,1029,C13-label-1,[M+H]+,Diamino-hydroxy-formamidopyrimidine
171.0661383,C5H6N5O2,1029,C13-label-2,[M+H]+,Diamino-hydroxy-formamidopyrimidine
172.0694931,C5H6N5O2,1029,C13-label-3,[M+H]+,Diamino-hydroxy-formamidopyrimidine
173.0728479,C5H6N5O2,1029,C13-label-4,[M+H]+,Diamino-hydroxy-formamidopyrimidine
174.0762028,C5H6N5O2,1029,C13-label-5,[M+H]+,Diamino-hydroxy-formamidopyrimidine
216.0631581,C5H14NO6P,1030,C13-label-0,[M+H]+,Glycerylphosphorylethanolamine
217.0665129,C5H14NO6P,1030,C13-label-1,[M+H]+,Glycerylphosphorylethanolamine
218.0698678,C5H14NO6P,1030,C13-label-2,[M+H]+,Glycerylphosphorylethanolamine
219.0732226,C5H14NO6P,1030,C13-label-3,[M+H]+,Glycerylphosphorylethanolamine
220.0765774,C5H14NO6P,1030,C13-label-4,[M+H]+,Glycerylphosphorylethanolamine
221.0799323,C5H14NO6P,1030,C13-label-5,[M+H]+,Glycerylphosphorylethanolamine
127.0389746,C6H6O3,1031,C13-label-0,[M+H]+,Triacetate lactone_isomer
128.0423294,C6H6O3,1031,C13-label-1,[M+H]+,Triacetate lactone_isomer
129.0456843,C6H6O3,1031,C13-label-2,[M+H]+,Triacetate lactone_isomer
130.0490391,C6H6O3,1031,C13-label-3,[M+H]+,Triacetate lactone_isomer
131.0523939,C6H6O3,1031,C13-label-4,[M+H]+,Triacetate lactone_isomer
132.0557488,C6H6O3,1031,C13-label-5,[M+H]+,Triacetate lactone_isomer
133.0591036,C6H6O3,1031,C13-label-6,[M+H]+,Triacetate lactone_isomer
132.1019076,C6H13NO2,1032,C13-label-0,[M+H]+,Leucine
133.1052624,C6H13NO2,1032,C13-label-1,[M+H]+,Leucine
134.1086173,C6H13NO2,1032,C13-label-2,[M+H]+,Leucine
135.1119721,C6H13NO2,1032,C13-label-3,[M+H]+,Leucine
136.1153269,C6H13NO2,1032,C13-label-4,[M+H]+,Leucine
137.1186818,C6H13NO2,1032,C13-label-5,[M+H]+,Leucine
138.1220366,C6H13NO2,1032,C13-label-6,[M+H]+,Leucine
175.1189546,C6H14N4O2,1033,C13-label-0,[M+H]+,Arginine
176.1223094,C6H14N4O2,1033,C13-label-1,[M+H]+,Arginine
177.1256643,C6H14N4O2,1033,C13-label-2,[M+H]+,Arginine
178.1290191,C6H14N4O2,1033,C13-label-3,[M+H]+,Arginine
179.1323739,C6H14N4O2,1033,C13-label-4,[M+H]+,Arginine
180.1357288,C6H14N4O2,1033,C13-label-5,[M+H]+,Arginine
181.1390836,C6H14N4O2,1033,C13-label-6,[M+H]+,Arginine
176.1029716,C6H13N3O3,1034,C13-label-0,[M+H]+,Citrulline_isomer
177.1063264,C6H13N3O3,1034,C13-label-1,[M+H]+,Citrulline_isomer
178.1096813,C6H13N3O3,1034,C13-label-2,[M+H]+,Citrulline_isomer
179.1130361,C6H13N3O3,1034,C13-label-3,[M+H]+,Citrulline_isomer
180.1163909,C6H13N3O3,1034,C13-label-4,[M+H]+,Citrulline_isomer
181.1197458,C6H13N3O3,1034,C13-label-5,[M+H]+,Citrulline_isomer
182.1231006,C6H13N3O3,1034,C13-label-6,[M+H]+,Citrulline_isomer
161.0920726,C6H12N2O3,1035,C13-label-0,[M+H]+,Alanyl-alanine_isomer
162.0954274,C6H12N2O3,1035,C13-label-1,[M+H]+,Alanyl-alanine_isomer
163.0987823,C6H12N2O3,1035,C13-label-2,[M+H]+,Alanyl-alanine_isomer
164.1021371,C6H12N2O3,1035,C13-label-3,[M+H]+,Alanyl-alanine_isomer
165.1054919,C6H12N2O3,1035,C13-label-4,[M+H]+,Alanyl-alanine_isomer
166.1088468,C6H12N2O3,1035,C13-label-5,[M+H]+,Alanyl-alanine_isomer
167.1122016,C6H12N2O3,1035,C13-label-6,[M+H]+,Alanyl-alanine_isomer
164.0917396,C6H13NO4,1036,C13-label-0,[M+H]+,Amino-ethoxyhydroxybutanoic acid_isomer
165.0950944,C6H13NO4,1036,C13-label-1,[M+H]+,Amino-ethoxyhydroxybutanoic acid_isomer
166.0984493,C6H13NO4,1036,C13-label-2,[M+H]+,Amino-ethoxyhydroxybutanoic acid_isomer
167.1018041,C6H13NO4,1036,C13-label-3,[M+H]+,Amino-ethoxyhydroxybutanoic acid_isomer
168.1051589,C6H13NO4,1036,C13-label-4,[M+H]+,Amino-ethoxyhydroxybutanoic acid_isomer
169.1085138,C6H13NO4,1036,C13-label-5,[M+H]+,Amino-ethoxyhydroxybutanoic acid_isomer
170.1118686,C6H13NO4,1036,C13-label-6,[M+H]+,Amino-ethoxyhydroxybutanoic acid_isomer
181.0706726,C6H12O6,1037,C13-label-0,[M+H]+,Glucose_isomer
182.0740274,C6H12O6,1037,C13-label-1,[M+H]+,Glucose_isomer
183.0773823,C6H12O6,1037,C13-label-2,[M+H]+,Glucose_isomer
184.0807371,C6H12O6,1037,C13-label-3,[M+H]+,Glucose_isomer
185.0840919,C6H12O6,1037,C13-label-4,[M+H]+,Glucose_isomer
186.0874468,C6H12O6,1037,C13-label-5,[M+H]+,Glucose_isomer
187.0908016,C6H12O6,1037,C13-label-6,[M+H]+,Glucose_isomer
245.0420911,C6H13O8P,1038,C13-label-0,[M+H]+,Fuculose 1-phosphate
246.0454459,C6H13O8P,1038,C13-label-1,[M+H]+,Fuculose 1-phosphate
247.0488008,C6H13O8P,1038,C13-label-2,[M+H]+,Fuculose 1-phosphate
248.0521556,C6H13O8P,1038,C13-label-3,[M+H]+,Fuculose 1-phosphate
