m/z,Formula,ID,IsotopeLabel,Ion form,Compound
117.0193374,C4H6O4,26,C12 PARENT,[M-H]-,Succinate
118.0226922,C4H6O4,26,C13-label-1,[M-H]-,Succinate
119.0260471,C4H6O4,26,C13-label-2,[M-H]-,Succinate
120.0294019,C4H6O4,26,C13-label-3,[M-H]-,Succinate
121.0327567,C4H6O4,26,C13-label-4,[M-H]-,Succinate
119.0349874,C4H8O4,27,C12 PARENT,[M-H]-,Dihydroxybutanoic acid
120.0383422,C4H8O4,27,C13-label-1,[M-H]-,Dihydroxybutanoic acid
121.0416971,C4H8O4,27,C13-label-2,[M-H]-,Dihydroxybutanoic acid
122.0450519,C4H8O4,27,C13-label-3,[M-H]-,Dihydroxybutanoic acid
123.0484067,C4H8O4,27,C13-label-4,[M-H]-,Dihydroxybutanoic acid
148.9914081,C4H6O4S,28,C12 PARENT,[M-H]-,Thiodiacetic acid
149.9947629,C4H6O4S,28,C13-label-1,[M-H]-,Thiodiacetic acid
150.9981178,C4H6O4S,28,C13-label-2,[M-H]-,Thiodiacetic acid
152.0014726,C4H6O4S,28,C13-label-3,[M-H]-,Thiodiacetic acid
153.0048274,C4H6O4S,28,C13-label-4,[M-H]-,Thiodiacetic acid
130.9986034,C4H4O5,29,C12 PARENT,[M-H]-,Oxalacetic acid
132.0019582,C4H4O5,29,C13-label-1,[M-H]-,Oxalacetic acid
133.0053131,C4H4O5,29,C13-label-2,[M-H]-,Oxalacetic acid
134.0086679,C4H4O5,29,C13-label-3,[M-H]-,Oxalacetic acid
135.0120227,C4H4O5,29,C13-label-4,[M-H]-,Oxalacetic acid
131.0462194,C4H8N2O3,30,C12 PARENT,[M-H]-,Asparagine
132.0495742,C4H8N2O3,30,C13-label-1,[M-H]-,Asparagine
133.0529291,C4H8N2O3,30,C13-label-2,[M-H]-,Asparagine
134.0562839,C4H8N2O3,30,C13-label-3,[M-H]-,Asparagine
135.0596387,C4H8N2O3,30,C13-label-4,[M-H]-,Asparagine
132.0302364,C4H7NO4,31,C12 PARENT,[M-H]-,Aspartate
133.0335912,C4H7NO4,31,C13-label-1,[M-H]-,Aspartate
134.0369461,C4H7NO4,31,C13-label-2,[M-H]-,Aspartate
135.0403009,C4H7NO4,31,C13-label-3,[M-H]-,Aspartate
136.0436557,C4H7NO4,31,C13-label-4,[M-H]-,Aspartate
133.0142534,C4H6O5,32,C12 PARENT,[M-H]-,Malate
134.0176082,C4H6O5,32,C13-label-1,[M-H]-,Malate
135.0209631,C4H6O5,32,C13-label-2,[M-H]-,Malate
136.0243179,C4H6O5,32,C13-label-3,[M-H]-,Malate
137.0276727,C4H6O5,32,C13-label-4,[M-H]-,Malate
248.0094574,C4H13NO7P2,33,C12 PARENT,[M-H]-,Alendronic acid_isomer
249.0128122,C4H13NO7P2,33,C13-label-1,[M-H]-,Alendronic acid_isomer
250.0161671,C4H13NO7P2,33,C13-label-2,[M-H]-,Alendronic acid_isomer
251.0195219,C4H13NO7P2,33,C13-label-3,[M-H]-,Alendronic acid_isomer
252.0228767,C4H13NO7P2,33,C13-label-4,[M-H]-,Alendronic acid_isomer
117.0557214,C5H10O3,34,C12 PARENT,[M-H]-,Methyl hydroxybutyrate
118.0590762,C5H10O3,34,C13-label-1,[M-H]-,Methyl hydroxybutyrate
119.0624311,C5H10O3,34,C13-label-2,[M-H]-,Methyl hydroxybutyrate
120.0657859,C5H10O3,34,C13-label-3,[M-H]-,Methyl hydroxybutyrate
121.0691407,C5H10O3,34,C13-label-4,[M-H]-,Methyl hydroxybutyrate
122.0724956,C5H10O3,34,C13-label-5,[M-H]-,Methyl hydroxybutyrate
111.0087714,C5H4O3,35,C12 PARENT,[M-H]-,Furoic acid
112.0121262,C5H4O3,35,C13-label-1,[M-H]-,Furoic acid
113.0154811,C5H4O3,35,C13-label-2,[M-H]-,Furoic acid
114.0188359,C5H4O3,35,C13-label-3,[M-H]-,Furoic acid
115.0221907,C5H4O3,35,C13-label-4,[M-H]-,Furoic acid
116.0255456,C5H4O3,35,C13-label-5,[M-H]-,Furoic acid
128.0353204,C5H7NO3,36,C12 PARENT,[M-H]-,Oxoproline
129.0386752,C5H7NO3,36,C13-label-1,[M-H]-,Oxoproline
130.0420301,C5H7NO3,36,C13-label-2,[M-H]-,Oxoproline
131.0453849,C5H7NO3,36,C13-label-3,[M-H]-,Oxoproline
132.0487397,C5H7NO3,36,C13-label-4,[M-H]-,Oxoproline
133.0520946,C5H7NO3,36,C13-label-5,[M-H]-,Oxoproline
130.0509704,C5H9NO3,37,C12 PARENT,[M-H]-,Hydroxyproline
131.0543252,C5H9NO3,37,C13-label-1,[M-H]-,Hydroxyproline
132.0576801,C5H9NO3,37,C13-label-2,[M-H]-,Hydroxyproline
133.0610349,C5H9NO3,37,C13-label-3,[M-H]-,Hydroxyproline
134.0643897,C5H9NO3,37,C13-label-4,[M-H]-,Hydroxyproline
135.0677446,C5H9NO3,37,C13-label-5,[M-H]-,Hydroxyproline
131.0826034,C5H12N2O2,38,C12 PARENT,[M-H]-,Ornithine
132.0859582,C5H12N2O2,38,C13-label-1,[M-H]-,Ornithine
133.0893131,C5H12N2O2,38,C13-label-2,[M-H]-,Ornithine
134.0926679,C5H12N2O2,38,C13-label-3,[M-H]-,Ornithine
