Unlabel_01,Intensity,Unlabel_02,Intensity,Unlabel_03,Intensity,Glc_Label_01,Intensity,Glc_Label_02,Intensity,Glc_Label_03,Intensity
70.6427,3.2164,70.6119,3.1938,70.6826,3.5995,70.6484,2.8271,72.5512,12.2556,70.9887,3.6538
70.6465,2.575,70.6164,0.6548,70.6872,3.2289,70.6502,3.4762,72.5662,12.9778,70.9967,8.5769
70.6513,2.7271,70.6221,6.5924,70.6895,3.5014,70.6521,2.9048,72.5842,14.3556,71.0036,3.6888
70.655,2.729,70.6237,2.5412,70.6917,6.455,70.6564,2.8647,72.5896,13.2111,71.0096,4.3671
70.662,4.7719,70.6254,5.8218,70.6939,3.673,70.6606,2.8722,72.5913,14.1778,71.0107,4.9161
70.6692,4.8499,70.6271,8.882,70.6988,3.7003,70.664,2.9023,72.5987,14.3556,71.0118,4.0559
70.6731,3.1345,70.6304,2.8062,70.7017,10.4387,70.6691,6.8421,72.6161,14.6444,71.0136,684.965
70.6772,2.5712,70.6356,2.9755,70.7046,6.3379,70.6707,5.8772,72.6308,16.4444,71.0203,4.3811
70.6814,3.9513,70.6369,2.7884,70.713,7.5259,70.6738,3.6692,72.6434,13.7889,71.0394,3.5909
70.6893,2.2281,70.6417,2.8552,70.7161,6.3161,70.6758,2.8271,72.6485,13.2444,71.0445,4.3881
70.6911,2.9942,70.6441,5.6236,70.7222,4.049,70.6792,2.8872,72.6706,26.1556,71.05,43.8182
70.6931,2.5185,70.6466,5.8151,70.7232,7.0218,70.6843,5.5764,72.6798,15.0667,71.0572,3.8741
70.695,2.575,70.6584,6.7595,70.7344,3.5313,70.6859,2.8496,72.6873,13.1556,71.0601,4.1154
70.7024,3.5127,70.6625,3.3185,70.7424,6.3488,70.6902,3.0426,72.6966,13.0778,71.0615,3.9371
70.709,2.5419,70.6688,2.9599,70.7473,3.3134,70.6933,2.6917,72.7004,15.0222,71.0658,3.6608
70.7187,2.6628,70.6699,5.6459,70.7541,3.7003,70.6962,5.8647,72.7016,13.6444,71.07,8.6364
70.7308,2.3567,70.6748,7.5434,70.7575,3.3379,70.7028,6.4361,72.7149,12.3778,71.0761,3.6783
70.7369,2.8889,70.6793,3.0045,70.7646,3.4087,70.7048,6.7243,72.7288,15.1333,71.0803,4.2867
70.7395,2.1793,70.682,2.6481,70.771,3.1553,70.7113,5.619,72.7368,13.5333,71.0858,9.4545
70.7414,2.4912,70.6841,2.8374,70.7724,3.7439,70.715,5.7845,72.7411,15.9,71.0872,4.5035
70.7467,2.5945,70.6883,2.7372,70.7777,3.3379,70.7215,3.0476,72.7583,12.7111,71.0893,3.5944
70.749,3.306,70.69,3.2116,70.7808,2.8392,70.7229,2.4987,72.768,13.4222,71.0905,7.6888
70.7525,13.0975,70.6925,3.0557,70.7823,6.4496,70.7245,5.2256,72.7754,16.4556,71.093,8.4825
70.7561,10.423,70.6978,3.1715,70.7861,7.9428,70.7362,2.797,72.7791,12.6333,71.0975,3.7832
70.7597,2.0702,70.6996,6.2762,70.7893,3.564,70.738,3.3383,72.7893,14.7222,71.1076,3.7517
70.7635,3.0234,70.7065,2.5523,70.7905,3.8447,70.743,2.9649,72.7922,14.2889,71.1105,3.8427
70.7663,2.2534,70.7106,3.5212,70.7948,5.0136,70.7464,3.0802,72.8335,12.9444,71.1152,3.8566
70.7697,2.5906,70.7137,9.4855,70.8084,3.3188,70.751,4.0852,72.8357,13.9444,71.1174,3.7168
70.7723,2.6179,70.7179,2.8886,70.8321,2.9373,70.759,2.782,72.8727,13.9222,71.1205,4.0769
70.7755,15.8304,70.72,2.686,70.8351,3.9074,70.764,3.1328,72.8828,12.1556,71.1221,4.0909
70.7806,2.3918,70.7223,6.9889,70.8445,2.8747,70.7727,2.7494,72.9138,12.8111,71.1248,3.6154
70.7818,2.3821,70.7238,3.7506,70.8504,3.0545,70.7767,2.8321,72.9368,11.9667,71.1264,7.4196
70.7872,3,70.731,3.3385,70.8521,3.5531,70.7785,5.5965,72.9396,38.3556,71.1296,3.8497
70.7898,3.499,70.7373,3.0245,70.854,7.1471,70.7854,5.99,72.9928,1662.8556,71.1386,3.9196
70.7909,2.3099,70.7399,5.6659,70.8567,3.2343,70.7882,2.782,73.0093,15.2333,71.1412,4.7867
70.7973,2.384,70.7486,3.5434,70.8584,3.6458,70.7921,3.1303,73.0211,11.9444,71.1429,3.8497
70.7984,2.4717,70.7559,3.0846,70.8805,3.049,70.7975,5.8346,73.0292,17762.2441,71.1454,3.9685
70.801,5.2417,70.7572,3.0089,70.8826,6.5068,70.804,6.2757,73.0531,14.1778,71.1464,4.493
70.8082,2.4776,70.7587,3.1849,70.8978,2.9183,70.808,2.5038,73.0649,17.6222,71.1498,7.8252
70.8093,3.1442,70.7601,2.9866,70.9,3.3597,70.8195,2.9248,73.0878,16.0222,71.1518,4.8986
70.8105,2.5341,70.762,3.3207,70.9021,5.8719,70.8222,3.1053,73.1323,14.0333,71.1582,4.1538
70.8126,3.5984,70.7648,4.3185,70.914,3.0545,70.8236,2.8722,73.1445,13.8,71.1595,4.0035
70.8143,2.425,70.7741,2.7973,70.9174,2.8856,70.8336,3.3784,73.1635,13.9667,71.1627,4.0769
70.8196,2.5809,70.776,3.3586,70.921,6.7738,70.8486,6.9774,73.2081,14.1444,71.1654,4.6993
70.8211,2.3957,70.7781,9.784,70.9295,3.2125,70.8535,3.1479,73.2143,13.4111,71.1702,3.8357
70.8241,2.5984,70.7797,2.8953,70.9351,4.0545,70.8632,2.9398,73.2465,15.8556,71.1754,4.0804
70.8255,2.4932,70.7818,12.3742,70.9375,5.9155,70.8653,3.1353,73.248,12.3333,71.1823,4.528
70.8308,7.7368,70.7908,8.9376,70.9471,6.0327,70.872,2.6491,73.323,14.1111,71.1836,4.2168
70.8362,2.423,70.7928,3.0067,70.9568,3.0572,70.8759,3.0602,73.3532,18.9889,71.1889,3.521
70.838,2.4912,70.7944,3.2294,70.9642,4.3025,70.8847,2.8822,73.3837,12.4778,71.1924,4.1643
70.8403,0.5828,70.7954,9.7372,70.9663,3.5313,70.8881,3.2581,73.3966,13.6667,71.2018,4.1748
70.8433,2.4854,70.799,3.0022,70.9697,3.4278,70.8918,3.3759,73.4202,14.2444,71.2074,5.1084
70.8453,2.3567,70.8022,4.6147,70.9752,10.436,70.8951,2.7444,73.4428,10.9444,71.2088,3.958
70.8508,2.575,70.8061,2.9666,70.9829,3.455,70.8963,3.0451,73.4893,14.8,71.2104,5.049
70.854,4.8421,70.8132,3.6281,70.985,3.1144,70.8975,6.1028,73.4956,13.6333,71.2117,3.8986
70.8553,5.1365,70.8237,3.3898,70.993,3.1826,70.9039,3.3784,73.5007,17.8556,71.2154,3.7867
70.8568,3.1033,70.8262,6.9911,70.9957,2.9101,70.9087,2.7494,73.5038,13.7333,71.2169,8.4161
70.8615,2.3977,70.831,7.2539,71.0016,3.5777,70.9102,2.995,73.5209,12.8444,71.2217,4.9755
70.865,2.7914,70.8355,5.9755,71.0034,3.6621,70.9157,2.7193,73.5358,29.1222,71.2282,8.6643
70.8675,2.4386,70.8375,3.167,71.006,3.0954,70.9187,3.1203,73.542,12.2778,71.2297,4.3916
70.8689,3.0604,70.8454,3.0668,71.01,3.0627,70.9213,2.9449,73.5446,14.4,71.2381,4.3671
70.8771,2.2242,70.8481,3.2405,71.0121,64.3025,70.9247,3.2481,73.5518,13.2889,71.2405,3.5979
70.8791,2.3041,70.8521,3.0913,71.0136,2382.9236,70.9287,2.7393,73.5731,11.9444,71.2506,3.8462
70.8832,5.0273,70.8544,9.314,71.0234,3.7766,70.9332,16.1353,73.594,13.9,71.2527,3.6469
70.8845,2.5224,70.858,2.8151,71.0261,6.6621,70.9378,3.1328,73.5995,12.8444,71.2546,3.9685
70.8859,2.4269,70.8595,3.3408,71.0319,3.4496,70.9465,6.8521,73.6603,11.7111,71.2628,4.2308
70.8894,4.4776,70.8629,3.6347,71.0361,4.0191,70.9496,5.4135,73.6618,17.7889,71.2648,8.2727
70.8916,3.0936,70.8672,3.1782,71.0377,6.7275,70.9617,2.6717,73.6775,12.5667,71.2677,4.2517
70.8948,2.7135,70.8752,2.9354,71.0451,3.1907,70.9708,6.1905,73.708,14.2778,71.279,3.7168
70.898,2.3762,70.8777,5.7082,71.0502,9.5722,70.975,3.5664,73.7301,14.3333,71.2847,4.042
70.9024,8.6511,70.8841,3.0401,71.0557,3.5777,70.9771,3.406,73.7343,13,71.289,4.3497
70.9086,5.6725,70.8857,3.1915,71.0576,6.5749,70.9809,3.5388,73.7519,13.0444,71.291,3.9755
70.9127,2.5517,70.8892,6.8508,71.0649,3.3924,70.9822,2.9574,73.7626,11.9778,71.3055,3.965
70.9154,8.3548,70.8979,6.98,71.0713,6.594,70.9851,2.9474,73.7678,12.2556,71.3082,3.8462
70.9176,5.4932,70.904,2.8619,71.0751,3.1826,70.9862,3.0902,73.7769,16.7444,71.3176,4.0315
70.9227,3.0975,70.9055,6.078,71.0814,6.6921,70.9901,3.1604,73.7834,14.5778,71.3199,3.6853
70.9253,5.8382,70.9112,2.7105,71.0855,3.564,70.9917,3.0977,73.7956,17.7111,71.3299,4.1364
70.929,2.5146,70.9122,2.7261,71.0935,3.1553,70.9969,3.0652,73.8046,12.8333,71.3339,4.1923
70.9309,2.8635,70.9144,3.1203,71.1069,6.9591,70.9993,5.4662,73.8285,17,71.3383,3.8007
70.9336,2.7524,70.9216,3.2227,71.1158,2.8883,71.0029,3.0927,73.8739,13.1222,71.3448,7.7238
70.9402,5.7115,70.9239,6.8508,71.1184,6.8774,71.0049,9.0276,73.8754,13.3111,71.3471,3.7657
70.9413,2.3002,70.9304,6.1804,71.1357,3.3733,71.0075,5.5664,73.8836,13.4444,71.3507,3.5315
70.9438,2.7934,70.9332,5.971,71.1407,6.7084,71.0092,2.9875,73.8898,14.8556,71.3541,4.4196
70.9489,2.9942,70.9347,3.3942,71.1452,3.1989,71.0106,3.1253,73.8927,13.1889,71.3554,3.7902
70.9551,5.6062,70.9366,2.9243,71.148,3.3678,71.0122,146.9298,73.9608,15.8333,71.358,3.2378
